name	version	repository	architecture	download_bytes	url	sha256
xcb-util-keysyms	0.4.1-5	extra	aarch64	7568	http://mirror.archlinuxarm.org/aarch64/extra/xcb-util-keysyms-0.4.1-5-aarch64.pkg.tar.xz	05bd273ab344ea9d8fd44d1688f8ac5aa009071672bbc8b50571c252c39dfe7a
xcb-util-renderutil	0.3.10-2	extra	aarch64	9368	http://mirror.archlinuxarm.org/aarch64/extra/xcb-util-renderutil-0.3.10-2-aarch64.pkg.tar.xz	87ab6eb530aaf6a2cf25af677ceb4493346ff319bb86e041afb9408e606784e3
xcb-util-wm	0.4.2-2	extra	aarch64	31348	http://mirror.archlinuxarm.org/aarch64/extra/xcb-util-wm-0.4.2-2-aarch64.pkg.tar.xz	cca68248ca0d4a83382cac35fec66e8965e121d792ab2cb54a048fd7f514b92e
xkeyboard-config	2.48-1	extra	any	843224	http://mirror.archlinuxarm.org/aarch64/extra/xkeyboard-config-2.48-1-any.pkg.tar.xz	6ee5de46d25850dee96be9c28f9870ea2ae0b19ac8fb3c2194d31b9649b03ecd
xorg-fonts-encodings	1.1.0-2	extra	any	578240	http://mirror.archlinuxarm.org/aarch64/extra/xorg-fonts-encodings-1.1.0-2-any.pkg.tar.xz	1e6b1699140df659a049dc9094fc3b08a60b624db748bc004f28db51e5bfa641
xorg-server-common	21.1.24-1	extra	aarch64	27340	http://mirror.archlinuxarm.org/aarch64/extra/xorg-server-common-21.1.24-1-aarch64.pkg.tar.xz	0f508f5fe3c6b51764bb1b24d19a74670aee164710df2db894cc2f7b174db41c
xorg-setxkbmap	1.3.5-1	extra	aarch64	13496	http://mirror.archlinuxarm.org/aarch64/extra/xorg-setxkbmap-1.3.5-1-aarch64.pkg.tar.xz	a3323ae651b0477c7c411e431d68debef85eef9d2f15ca90d89e383e2fad08a4
xorg-xkbcomp	1.5.0-1	extra	aarch64	81536	http://mirror.archlinuxarm.org/aarch64/extra/xorg-xkbcomp-1.5.0-1-aarch64.pkg.tar.xz	7c30d6aa484ff17ab36c3c33ae145195831458751e901b96b92b3398abc96611
xorg-xwayland	24.1.13-1	extra	aarch64	851316	http://mirror.archlinuxarm.org/aarch64/extra/xorg-xwayland-24.1.13-1-aarch64.pkg.tar.xz	b7d626d41761d9829ea722086e04a8df53cddf12c2341ab2b99e0080badd6a1a
xorgproto	2025.1-1	extra	any	238696	http://mirror.archlinuxarm.org/aarch64/extra/xorgproto-2025.1-1-any.pkg.tar.xz	682bdb76951a10606b0f3dfaa6e3fd48df2bd183a060e66aa23fbce2473bca53
